,Sport,Year,CV,drug,equity,normalizedcountry,popularity,sustain,Class_1_Probability
49,Ski Jumping,2032,0.7353171629424542,0.0,0.0,0.08877369823866,0.0104494967891241,0.5845800707253038,0.4363542106488768
7,Basketball,2032,0.654746450064948,0.0322608139601447,0.4999999367325102,0.0863054202559013,0.0344359130193356,0.5161669456463193,0.3772696750549006
25,Golf,2032,0.6331264929403214,0.0,0.3900317786630164,0.1952778561289988,0.0249613574631291,1.0,0.3771683973076625
27,Handball,2032,0.7610880224387526,0.0,0.4999994405084328,0.0934926852503729,0.0329541148208032,0.4840224673150831,0.3620247744506069
62,Water Polo,2032,0.7194071686613308,0.0,0.5,0.0691338035308143,0.0237347898083627,0.5265991051263811,0.2909914775609405
23,Football,2032,1.1531463749407165,0.0,0.5,0.1172964110685407,0.0565280545899409,0.6559498643503058,0.2040765983757262
52,Speed Skating,2032,0.8184590162810953,0.0,0.434705498914885,0.1113924851455724,0.0219565825298267,0.5161669456463193,0.1689914022325735
6,Baseball,2032,0.6768764088958336,0.0815221239974586,0.0,0.04,0.0140992368355949,0.5328235195782961,0.1066063022019991
22,Figure Skating,2032,0.6538722453113645,0.0,0.4979305438175203,0.3199883583561875,0.0085457470131155,0.494698515192506,0.0998750103143068
10,Biathlon,2032,0.741087986726008,0.0,0.404814004376386,0.1397920231385863,0.0278435329256171,0.5464351749739288,0.0693592278443231
3,Art Competitions,2032,0.7947915373560829,0.0,0.1167141387225741,0.1282665579520654,0.08797631857919,0.0,0.0107019944393283
29,Ice Hockey,2032,0.7826125959315299,0.0,0.0,0.0600387522635326,0.0197763300554237,0.5464351749739288,0.0087471430457369
11,Bobsleigh,2032,0.9100801711532188,0.0,0.0,0.1246748121146096,0.0130523554857605,0.5981967014473177,0.006884553720882
33,Luge,2032,0.8416915404953922,0.0,0.2402269219619277,0.1099872604788045,0.0059708768322328,0.5679160356679765,0.0058934508053826
0,Alpine Skiing,2032,1.003118440245379,0.0,0.3443833713178343,0.2423799150381268,0.0418903337170366,0.5679160356679765,0.0019586856338997
16,Cross Country Skiing,2032,0.905449516317395,0.0,0.3935637816866261,0.1947561524811809,0.0402176046425707,0.5512538665211606,0.0002668426690857
37,Nordic Combined,2032,0.6880073785679814,0.0,0.0,0.0610404070825115,0.0044315112054137,0.5679160356679765,0.000263072836677
58,Trampolining,2032,0.6330406649558882,0.0,0.5,0.0888663139880135,0.0023378141457291,0.4378711100167674,0.0001564643805983
51,Softball,2032,0.8396840342595776,0.0,0.5,0.04,0.008822232024778,0.5161669456463193,9.555404996097144e-05
38,Polo,2032,0.5569429443839211,0.0,0.0,0.0200356908240776,0.0028378392699759,0.5464351749739288,4.273955148384106e-06
44,Rugby Sevens,2032,0.0,0.0,0.0,0.0,0.0,0.5579449708447906,6.06104260444529e-08
24,Freestyle Skiing,2032,0.0,0.0,0.0,0.0,0.0,0.5679160356679765,6.06104260444529e-08
8,Basque Pelota,2032,0.0,0.0,0.0,0.0,0.0,0.3962205612536317,6.06104260444529e-08
14,Cricket,2032,0.0,0.0,0.0,0.0,0.0,0.5464351749739288,6.06104260444529e-08
15,Croquet,2032,0.0,0.0,0.0,0.0,0.0,0.3235577860364937,6.06104260444529e-08
17,Curling,2032,0.0,0.0,0.0,0.0,0.0,0.4644551277301663,6.06104260444529e-08
34,Military Ski Patrol,2032,0.0,0.0,0.0,0.0,0.0,0.5161669456463193,6.06104260444529e-08
30,Jeu De Paume,2032,0.0,0.0,0.0,0.0,0.0,0.3962205612536317,6.06104260444529e-08
41,Roque,2032,0.0,0.0,0.0,0.0,0.0,0.2937545900070836,6.06104260444529e-08
36,Motorboating,2032,0.0,0.0,0.0,0.0,0.0,0.6666396834596393,6.06104260444529e-08
50,Snowboarding,2032,0.0,0.0,0.0,0.0,0.0,0.5679160356679765,6.06104260444529e-08
39,Racquets,2032,0.0,0.0,0.0,0.0,0.0,0.3748510537058478,6.06104260444529e-08
48,Skeleton,2032,0.0,0.0,0.0,0.0,0.0,0.5981967014473177,6.06104260444529e-08
47,Short Track Speed Skating,2032,0.0,0.0,0.0,0.0,0.0,0.4995140997617431,6.06104260444529e-08
32,Lacrosse,2032,0.0,0.0,0.0,0.0,0.0,0.5161669456463193,6.06104260444529e-08
